Room Name ,Room Location
T1-1B-A1,"1014.0505,353.7926,52.1654"
T1-1B-A1,"1043.414,353.7877,52.1654"
T1-1B-A1,"1072.9415,353.7877,52.1654"
T1-1B-A1,"1545.5465,353.7877,52.1654"
T1-1B-A1,"1574.91,353.7877,52.1654"
T1-1B-A1,"1604.6016,353.7926,52.1654"
T1-1B-A1,"1043.578,298.6694,52.1654"
T1-1B-A1,"1072.9415,298.6694,52.1654"
T1-1B-A1,"1545.5465,298.6694,52.1654"
T1-1B-A1,"1574.91,298.6694,52.1654"
T1-1B-A1,"1456.9638,627.2066,40.3543"
T1-1B-A1,"1486.3274,627.2066,40.3543"
T1-1B-A1,"1575.0741,627.2066,40.3543"
T1-1B-A1,"1604.4376,627.2066,40.3543"
T1-1B-A1,"1456.9638,627.246,28.5433"
T1-1B-A1,"1486.3274,627.246,28.5433"
T1-1B-A1,"1575.0741,627.2458,28.5433"
T1-1B-A1,"1604.4376,627.2458,28.5433"
T1-1B-A1,"1309.326,353.7877,52.1654"
T1-1B-A1,"1338.6896,353.7877,52.1654"
T1-1B-A1,"1309.326,298.7768,52.1654"
T1-1B-A1,"1338.6896,298.6694,52.1654"
T1-ST-A,"1053.4205,656.1173,4.9213"
T1-ST-A,"1131.9966,656.1173,4.9213"
T1-ST-A,"1171.5308,656.1173,4.9213"
T1-ST-A,"1013.8864,656.1173,4.9213"
T1-1B-A1,"1191.0518,353.7877,52.1654"
T1-1B-A1,"1161.6883,353.7877,52.1654"
T1-1B-A1,"1161.5828,298.6694,52.1654"
T1-1B-A1,"1191.0518,298.6694,52.1654"
T1-1B-A1,"1014.0505,656.1173,52.1654"
T1-1B-A1,"1043.414,656.1173,52.1654"
T1-1B-A1,"1043.414,600.9991,52.1654"
T1-1B-A1,"1014.0505,601.004,52.1654"
T1-1B-A1,"1132.1607,600.9941,52.1654"
T1-1B-A1,"1161.5242,600.9991,52.1654"
T1-1B-A1,"1250.2709,600.9991,52.1654"
T1-1B-A1,"1279.6344,601.004,52.1654"
T1-1B-A1,"1279.6344,656.1173,52.1654"
T1-1B-A1,"1250.1725,656.1173,52.1654"
T1-1B-A1,"1161.5242,656.1173,52.1654"
T1-1B-A1,"1131.9967,656.1173,52.1654"
T1-1B-A1,"1427.4363,353.7877,52.1654"
T1-1B-A1,"1456.7998,353.7877,52.1654"
T1-1B-A1,"1456.7998,298.6694,52.1654"
T1-1B-A1,"1427.4363,298.6694,52.1654"
