Copied GUID,Copied Element ID,Copied Category,Copied Wall Type Name,Copied Wall Start Point,Copied Wall End Point,Copied Wall Orientation,Copied Fire_Rating,Copied STC_Rating,Copied Structural Property
75f82335-11b5-4419-9863-017654189aeb-0048ef92,4779922,Walls,WA_Int_Gypsum_150 STC55 D1,"(1053.430586153, 673.416321792, 0.000000000)","(1058.515887990, 673.416321792, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef93,4779923,Walls,WA_Int_Gypsum_150 STC55 D1,"(1063.191084840, 671.201754863, 0.000000000)","(1063.191084840, 673.416321792, 0.000000000)","(-1.000000000, 0.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef94,4779924,Walls,WA_Int_Gypsum_150 STC55 D1,"(1063.191084840, 673.416321792, 0.000000000)","(1072.449414758, 673.416321792, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef95,4779925,Walls,WA_Int_Gypsum_150 STC55 D1,"(1062.945021848, 676.694601359, 0.000000000)","(1065.684523161, 676.694601359, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef96,4779926,Walls,WA_Int_Solid-Block_100 STC45,"(1065.684523161, 684.486596109, 0.000000000)","(1065.684523161, 673.416321792, 0.000000000)","(1.000000000, 0.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef97,4779927,Walls,WA_Int_Solid-Block_100 STC45,"(1058.269824998, 681.205639044, 0.000000000)","(1058.269824998, 684.486596109, 0.000000000)","(-1.000000000, 0.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef98,4779928,Walls,WA_Int_Solid-Block_100 STC45,"(1062.945021848, 679.727600463, 0.000000000)","(1065.684523161, 679.727600463, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef99,4779929,Walls,WA_Int_Solid-Block_100 STC45,"(1065.684523161, 682.682134167, 0.000000000)","(1072.449414758, 682.682134167, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef9a,4779930,Walls,WA_Int_Solid-Block_100 STC45,"(1070.978791606, 682.682134167, 0.000000000)","(1070.978791606, 679.727600463, 0.000000000)","(1.000000000, 0.000000000, 0.000000000)",,,0
75f82335-11b5-4419-9863-017654189aeb-0048ef9b,4779931,Walls,WA_Int_Solid-Block_100 STC45,"(1072.449414758, 679.727600463, 0.000000000)","(1070.978791606, 679.727600463, 0.000000000)","(0.000000000, -1.000000000, 0.000000000)",,,0
