GUID,Element ID,Category,Wall Type Name,Wall Start Point,Wall End Point,Wall Orientation,Fire_Rating,STC_Rating,Structural Property
b9491c40-d6df-49c0-9277-cf026227e20f-0011dd3b,1170747,Walls,WA_Int_Gypsum_150 STC55 D1,"(0.010086153, 17.299021792, 0.000000000)","(5.095387990, 17.299021792, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011dd80,1170816,Walls,WA_Int_Gypsum_150 STC55 D1,"(9.770584840, 15.084454863, 0.000000000)","(9.770584840, 17.299021792, 0.000000000)","(-1.000000000, 0.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011de11,1170961,Walls,WA_Int_Gypsum_150 STC55 D1,"(9.770584840, 17.299021792, 0.000000000)","(18.382789565, 17.299021792, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011de68,1171048,Walls,WA_Int_Gypsum_150 STC55 D1,"(9.524521848, 20.577301359, 0.000000000)","(12.264023161, 20.577301359, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011dec9,1171145,Walls,WA_Int_Gypsum_150 STC55 D1,"(12.264023161, 28.369296109, 0.000000000)","(12.264023161, 17.299021792, 0.000000000)","(1.000000000, 0.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011df4c,1171276,Walls,WA_Int_Gypsum_150 STC55 D1,"(4.849324998, 25.088339044, 0.000000000)","(4.849324998, 28.369296109, 0.000000000)","(-1.000000000, 0.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011dfe8,1171432,Walls,WA_Int_Solid-Block_100 STC45,"(9.524521848, 23.610300463, 0.000000000)","(12.264023161, 23.610300463, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011e06d,1171565,Walls,WA_Int_Solid-Block_100 STC45,"(12.264023161, 26.564834167, 0.000000000)","(18.382789565, 26.564834167, 0.000000000)","(0.000000000, 1.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011e0cc,1171660,Walls,WA_Int_Solid-Block_100 STC45,"(17.558291606, 26.564834167, 0.000000000)","(17.558291606, 23.610300463, 0.000000000)","(1.000000000, 0.000000000, 0.000000000)",,,0
b9491c40-d6df-49c0-9277-cf026227e20f-0011e11e,1171742,Walls,WA_Int_Solid-Block_100 STC45,"(18.382789565, 23.610300463, 0.000000000)","(17.558291606, 23.610300463, 0.000000000)","(0.000000000, -1.000000000, 0.000000000)",,,0
